Bracket,https://challonge.com/lvbots_130711,,,,,,,,,
Entrant,Robot Name,T1,T2,T3,T4,T5,T6,Average,Best,Speed (m/s)
Ben,,00:22.75,00:23.31,00:22.90,00:22.47,,,00:22.86,00:22.47,1.31
Paul,,00:29.00,00:28.50,00:28.84,00:28.76,00:28.32,00:29.32,00:28.79,00:28.32,1.04
,3pi,00:31.72,,,,,,00:31.72,00:31.72,0.93
Shanel,,00:31.72,00:33.00,00:32.50,00:32.45,,,00:32.42,00:31.72,0.93
,Zumo,00:32.96,,,,,,00:32.96,00:32.96,0.89
Jamee,,00:43.00,00:39.50,00:36.94,,,,00:39.81,00:36.94,0.8
Kevin,Colossus,00:47.50,00:47.08,00:46.65,00:45.10,00:45.25,,00:46.32,00:45.10,0.65
Jeremy,Crossing the line,00:54.59,00:47.81,00:50.40,,,,00:50.93,00:47.81,0.61
Zeeshan,,01:13.44,01:15.65,01:13.60,,,,01:14.23,01:13.44,0.4
Claire,,01:40.00,,,,,,01:40.00,01:40.00,0.29
Brandon,,01:47.03,,,,,,01:47.03,01:47.03,0.27